"","participant_id","trial_index","attractiveness_rating","stimulus","response","reasons_selected","other_reason_text","rt","time_elapsed"
"179",17,8,50,"face_357.png","0","[""Eyes""]",NA,7089,180875
"180",17,9,50,"face_390.png","0","[""Jaw""]",NA,9020,189898
"181",18,0,60,"face_376.png","0","[""Mouth"",""Nose"",""Jaw""]",NA,25159,25162
"182",18,1,40,"face_133.png","0","[""Jaw"",""Other""]",NA,25514,50681
"183",18,2,10,"face_137.png","0","[""Mouth"",""Jaw"",""Hair""]",NA,23723,74409
"184",18,3,50,"face_151.png","0","[""Mouth"",""Eyes""]",NA,14449,88861
"185",18,4,30,"face_054.png","0","[""Mouth"",""Eyes""]",NA,11372,100237
"186",18,5,70,"face_355.png","0","[""Mouth"",""Eyes"",""Jaw""]",NA,15664,115905
"187",18,6,40,"face_238.png","0","[""Eyes""]",NA,5895,121805
"188",18,7,70,"face_076.png","0","[""Mouth"",""Eyes"",""Nose""]",NA,11543,133351
"189",18,8,50,"face_199.png","0","[""Mouth"",""Hair""]",NA,9605,142960
"190",18,9,40,"face_309.png","0","[""Mouth"",""Hair""]",NA,10905,153870
"191",19,0,20,"face_404.png","0","[""Eyes"",""Nose"",""Hair""]",NA,21780,21787
"192",19,1,10,"face_108.png","0","[]",NA,8921,30713
"193",19,2,20,"face_277.png","0","[""Ears""]",NA,12710,43427
"194",19,3,10,"face_378.png","0","[]",NA,9731,53163
"195",19,4,10,"face_174.png","0","[""Mouth"",""Other""]",NA,17369,70537
"196",19,5,0,"face_421.png","0","[]",NA,4756,75297
"197",19,6,10,"face_020.png","0","[]",NA,4456,79757
"198",19,7,10,"face_204.png","0","[]",NA,4209,83971
"199",19,8,10,"face_149.png","0","[]",NA,5135,89109
"200",19,9,10,"face_160.png","0","[]",NA,3987,93102
"201",20,0,70,"face_146.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,18395,18398
"202",20,1,10,"face_108.png","0","[""Hair"",""Other""]","Wrinkles",17707,36109
"203",20,2,60,"face_421.png","0","[""Eyes"",""Hair""]",NA,29202,65316
"204",20,3,60,"face_255.png","0","[""Hair"",""Other""]","Head shape, eyebrows",34056,99375
"205",20,4,90,"face_147.png","0","[""Hair"",""Other""]","Facial hair",21039,120418
"206",20,5,80,"face_420.png","0","[""Mouth"",""Eyes"",""Other""]","Makeup",23102,143525
"207",20,6,70,"face_204.png","0","[""Eyes"",""Hair"",""Other""]","Glasses",28585,172115
"208",20,7,30,"face_388.png","0","[""Hair"",""Other""]","Age",31270,203389
"209",20,8,40,"face_140.png","0","[""Hair""]",NA,16785,220179
"210",20,9,60,"face_473.png","0","[""Eyes"",""Other""]","Age",34381,254564
"211",21,0,20,"face_357.png","0","[""Other""]","beard and not white teeth",22714,22720
"212",21,1,30,"face_095.png","0","[]",NA,5019,27744
"213",21,2,50,"face_438.png","0","[""Other""]","smile",23785,51533
"214",21,3,50,"face_085.png","0","[""Eyes""]",NA,10951,62488
"215",21,4,30,"face_433.png","0","[""Mouth""]",NA,11122,73615
"216",21,5,50,"face_220.png","0","[""Eyes""]",NA,7254,80873
"217",21,6,30,"face_366.png","0","[""Mouth"",""Eyes""]",NA,9131,90007
"218",21,7,20,"face_205.png","0","[""Other""]","old",8063,98074
"219",21,8,70,"face_151.png","0","[""Mouth""]",NA,6913,104991
"220",21,9,40,"face_162.png","0","[""Mouth""]",NA,5036,110030
"221",22,0,40,"face_318.png","0","[""Mouth"",""Nose""]",NA,99010,99016
"222",22,1,50,"face_424.png","0","[""Mouth"",""Nose"",""Hair""]",NA,16716,115740
"223",22,2,20,"face_435.png","0","[""Hair""]",NA,13580,129325
"224",22,3,60,"face_438.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair""]",NA,29873,159202
"225",22,4,50,"face_309.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,44032,203237
"226",22,5,10,"face_062.png","0","[]",NA,13497,216740
"227",22,6,70,"face_200.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,25463,242209
"228",22,7,50,"face_073.png","0","[""Eyes"",""Hair""]",NA,12197,254410
"229",22,8,20,"face_431.png","0","[""Hair""]",NA,10638,265052
"230",22,9,70,"face_325.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair""]",NA,34413,299469
"231",23,0,60,"face_080.png","0","[""Eyes"",""Jaw"",""Hair""]",NA,38761,38764
"232",23,1,70,"face_408.png","0","[""Eyes"",""Nose""]",NA,36802,75570
"233",23,2,60,"face_151.png","0","[""Eyes"",""Nose"",""Hair""]",NA,18088,93658
"234",23,3,70,"face_463.png","0","[""Eyes"",""Nose"",""Jaw""]",NA,33162,126822
"235",23,4,60,"face_366.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,14687,141512
"236",23,5,20,"face_102.png","0","[""Mouth"",""Eyes"",""Jaw""]",NA,26431,167945
"237",23,6,60,"face_178.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,13876,181822
"238",23,7,30,"face_424.png","0","[""Mouth"",""Jaw""]",NA,16376,198200
"239",23,8,40,"face_079.png","0","[""Jaw"",""Hair""]",NA,14678,212881
"240",23,9,70,"face_255.png","0","[""Mouth"",""Eyes""]",NA,26233,239115
"241",24,0,20,"face_255.png","0","[""Mouth"",""Nose"",""Jaw"",""Hair"",""Other""]","eyerbrows and wrinkles",180170,180173
"242",24,1,50,"face_146.png","0","[""Mouth"",""Eyes"",""Hair"",""Other""]","eyebrows",44249,224424
