participant_id,trial_index,attractiveness_rating,stimulus,response,reasons_selected,other_reason_text,rt,time_elapsed,latent_vector
0,0,30,face_265.png,0,"[""Mouth"",""Jaw"",""Hair""]",NA,30618,30618,
0,1,NA,face_140.png,0,NA,NA,16174,46799,
0,2,0,face_102.png,0,"[""Nose"",""Hair"",""Other""]",Eyebrows,19224,66026,
0,3,20,face_108.png,0,"[""Eyes"",""Jaw"",""Hair"",""Other""]",Just old lol,20660,86689,
0,4,0,face_388.png,0,"[""Mouth"",""Eyes"",""Nose"",""Jaw"",""Hair""]",NA,15278,101969,
0,5,80,face_199.png,0,"[""Hair"",""Other""]","Pretty face, hair eh",30520,132493,
0,6,20,face_061.png,0,"[""Eyes"",""Hair"",""Other""]",Couldn’t tell whether it was a man or woman,22087,154582,
0,7,20,face_419.png,0,"[""Eyes"",""Nose""]",NA,6889,161475,
0,8,70,face_060.png,0,"[""Nose"",""Hair""]",NA,5317,166796,
0,9,0,face_425.png,0,"[""Mouth"",""Eyes"",""Jaw"",""Other""]",Eyebrows,14333,181133,
1,0,50,face_392.png,0,"[""Mouth"",""Eyes"",""Nose"",""Hair""]",NA,72479,72493,
1,1,30,face_411.png,0,"[""Mouth""]",NA,10436,82931,
1,2,30,face_103.png,0,"[""Eyes"",""Hair""]",NA,35553,118486,
1,3,20,face_156.png,0,"[""Mouth""]",NA,17097,135585,
1,4,30,face_039.png,0,"[""Eyes"",""Hair""]",NA,29996,165583,
1,5,0,face_205.png,0,"[""Mouth"",""Eyes"",""Nose"",""Ears"",""Jaw"",""Hair""]",NA,8447,174032,
1,6,70,face_377.png,0,"[""Mouth"",""Eyes"",""Nose""]",NA,9382,183416,
1,7,50,face_350.png,0,"[""Eyes""]",NA,22430,205848,
1,8,40,face_059.png,0,"[""Hair""]",NA,12861,218711,
1,9,0,face_010.png,0,"[""Mouth"",""Eyes"",""Nose"",""Ears"",""Jaw"",""Hair""]",NA,8085,226797,
2,0,20,face_313.png,0,"[""Nose""]",NA,25317,25324,
2,1,10,face_419.png,0,[],NA,12655,37985,
2,2,60,face_366.png,0,"[""Mouth"",""Eyes""]",NA,19282,57271,
2,3,60,face_438.png,0,"[""Eyes"",""Hair""]",NA,13412,70686,
2,4,80,face_103.png,0,"[""Eyes"",""Nose"",""Jaw""]",NA,15769,86460,
2,5,70,face_149.png,0,"[""Mouth"",""Eyes"",""Nose"",""Jaw"",""Hair""]",NA,20182,106647,
2,6,80,face_185.png,0,"[""Mouth"",""Eyes"",""Nose""]",NA,12594,119244,
2,7,30,face_239.png,0,[],NA,6786,126034,
2,8,50,face_117.png,0,"[""Nose"",""Hair""]",NA,13360,139398,
2,9,70,face_350.png,0,"[""Mouth"",""Jaw""]",NA,13493,152894,
3,0,50,face_147.png,0,"[""Eyes"",""Hair""]",NA,22391,22399,
3,1,20,face_285.png,0,"[""Mouth""]",NA,15978,38382,
3,2,0,face_218.png,0,[],NA,10510,48900,
3,3,20,face_077.png,0,[],NA,10491,59394,
3,4,30,face_054.png,0,[],NA,6553,65952,
3,5,20,face_318.png,0,[],NA,6260,72216,
3,6,30,face_325.png,0,"[""Hair""]",NA,10386,82606,
3,7,40,face_205.png,0,"[""Eyes""]",NA,21564,104172,
3,8,10,face_241.png,0,[],NA,6820,110995,
3,9,60,face_030.png,0,"[""Jaw""]",NA,10342,121342,
4,0,20,face_320.png,0,"[""Mouth"",""Eyes"",""Hair""]",NA,31559,31574,
4,1,70,face_073.png,0,"[""Mouth"",""Eyes"",""Hair""]",NA,15658,47237,
4,2,60,face_174.png,0,"[""Eyes"",""Nose"",""Hair""]",NA,12809,60050,
4,3,20,face_078.png,0,"[""Mouth"",""Hair""]",NA,18777,78830,
